dataset,domain,split,label,source_type,source_path,source_id,image_name,saved_path,saved_filename
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00538.png,GAN|ffhq_real|00538,00538.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00538_000032.jpg,real_ffhq_real_00538_000032.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00540.png,GAN|ffhq_real|00540,00540.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00540_000033.jpg,real_ffhq_real_00540_000033.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00562.png,GAN|ffhq_real|00562,00562.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00562_000034.jpg,real_ffhq_real_00562_000034.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00567.png,GAN|ffhq_real|00567,00567.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00567_000035.jpg,real_ffhq_real_00567_000035.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00568.png,GAN|ffhq_real|00568,00568.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00568_000036.jpg,real_ffhq_real_00568_000036.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00599.png,GAN|ffhq_real|00599,00599.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00599_000037.jpg,real_ffhq_real_00599_000037.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00609.png,GAN|ffhq_real|00609,00609.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00609_000038.jpg,real_ffhq_real_00609_000038.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00617.png,GAN|ffhq_real|00617,00617.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00617_000039.jpg,real_ffhq_real_00617_000039.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00633.png,GAN|ffhq_real|00633,00633.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00633_000040.jpg,real_ffhq_real_00633_000040.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00659.png,GAN|ffhq_real|00659,00659.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00659_000041.jpg,real_ffhq_real_00659_000041.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00665.png,GAN|ffhq_real|00665,00665.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00665_000042.jpg,real_ffhq_real_00665_000042.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00680.png,GAN|ffhq_real|00680,00680.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00680_000043.jpg,real_ffhq_real_00680_000043.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00683.png,GAN|ffhq_real|00683,00683.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00683_000044.jpg,real_ffhq_real_00683_000044.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00688.png,GAN|ffhq_real|00688,00688.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00688_000045.jpg,real_ffhq_real_00688_000045.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00693.png,GAN|ffhq_real|00693,00693.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00693_000046.jpg,real_ffhq_real_00693_000046.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00716.png,GAN|ffhq_real|00716,00716.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00716_000047.jpg,real_ffhq_real_00716_000047.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00726.png,GAN|ffhq_real|00726,00726.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00726_000048.jpg,real_ffhq_real_00726_000048.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00739.png,GAN|ffhq_real|00739,00739.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00739_000049.jpg,real_ffhq_real_00739_000049.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00753.png,GAN|ffhq_real|00753,00753.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00753_000050.jpg,real_ffhq_real_00753_000050.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00760.png,GAN|ffhq_real|00760,00760.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00760_000051.jpg,real_ffhq_real_00760_000051.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00772.png,GAN|ffhq_real|00772,00772.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00772_000052.jpg,real_ffhq_real_00772_000052.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00800.png,GAN|ffhq_real|00800,00800.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00800_000053.jpg,real_ffhq_real_00800_000053.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00803.png,GAN|ffhq_real|00803,00803.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00803_000054.jpg,real_ffhq_real_00803_000054.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00832.png,GAN|ffhq_real|00832,00832.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00832_000055.jpg,real_ffhq_real_00832_000055.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00835.png,GAN|ffhq_real|00835,00835.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00835_000056.jpg,real_ffhq_real_00835_000056.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00836.png,GAN|ffhq_real|00836,00836.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00836_000057.jpg,real_ffhq_real_00836_000057.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00851.png,GAN|ffhq_real|00851,00851.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00851_000058.jpg,real_ffhq_real_00851_000058.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00860.png,GAN|ffhq_real|00860,00860.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00860_000059.jpg,real_ffhq_real_00860_000059.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00861.png,GAN|ffhq_real|00861,00861.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00861_000060.jpg,real_ffhq_real_00861_000060.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00863.png,GAN|ffhq_real|00863,00863.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00863_000061.jpg,real_ffhq_real_00863_000061.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00866.png,GAN|ffhq_real|00866,00866.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00866_000062.jpg,real_ffhq_real_00866_000062.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00867.png,GAN|ffhq_real|00867,00867.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00867_000063.jpg,real_ffhq_real_00867_000063.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00887.png,GAN|ffhq_real|00887,00887.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00887_000064.jpg,real_ffhq_real_00887_000064.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00895.png,GAN|ffhq_real|00895,00895.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00895_000065.jpg,real_ffhq_real_00895_000065.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00932.png,GAN|ffhq_real|00932,00932.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00932_000066.jpg,real_ffhq_real_00932_000066.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00946.png,GAN|ffhq_real|00946,00946.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00946_000067.jpg,real_ffhq_real_00946_000067.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00960.png,GAN|ffhq_real|00960,00960.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00960_000068.jpg,real_ffhq_real_00960_000068.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00963.png,GAN|ffhq_real|00963,00963.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00963_000069.jpg,real_ffhq_real_00963_000069.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\00973.png,GAN|ffhq_real|00973,00973.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_00973_000070.jpg,real_ffhq_real_00973_000070.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01007.png,GAN|ffhq_real|01007,01007.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01007_000071.jpg,real_ffhq_real_01007_000071.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01013.png,GAN|ffhq_real|01013,01013.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01013_000072.jpg,real_ffhq_real_01013_000072.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01025.png,GAN|ffhq_real|01025,01025.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01025_000073.jpg,real_ffhq_real_01025_000073.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01031.png,GAN|ffhq_real|01031,01031.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01031_000074.jpg,real_ffhq_real_01031_000074.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01032.png,GAN|ffhq_real|01032,01032.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01032_000075.jpg,real_ffhq_real_01032_000075.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01035.png,GAN|ffhq_real|01035,01035.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01035_000076.jpg,real_ffhq_real_01035_000076.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01056.png,GAN|ffhq_real|01056,01056.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01056_000077.jpg,real_ffhq_real_01056_000077.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01061.png,GAN|ffhq_real|01061,01061.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01061_000078.jpg,real_ffhq_real_01061_000078.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01064.png,GAN|ffhq_real|01064,01064.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01064_000079.jpg,real_ffhq_real_01064_000079.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01071.png,GAN|ffhq_real|01071,01071.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01071_000080.jpg,real_ffhq_real_01071_000080.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01075.png,GAN|ffhq_real|01075,01075.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01075_000081.jpg,real_ffhq_real_01075_000081.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01092.png,GAN|ffhq_real|01092,01092.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01092_000082.jpg,real_ffhq_real_01092_000082.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01103.png,GAN|ffhq_real|01103,01103.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01103_000083.jpg,real_ffhq_real_01103_000083.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01110.png,GAN|ffhq_real|01110,01110.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01110_000084.jpg,real_ffhq_real_01110_000084.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01153.png,GAN|ffhq_real|01153,01153.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01153_000085.jpg,real_ffhq_real_01153_000085.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01166.png,GAN|ffhq_real|01166,01166.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01166_000086.jpg,real_ffhq_real_01166_000086.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01170.png,GAN|ffhq_real|01170,01170.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01170_000087.jpg,real_ffhq_real_01170_000087.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01197.png,GAN|ffhq_real|01197,01197.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01197_000088.jpg,real_ffhq_real_01197_000088.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01198.png,GAN|ffhq_real|01198,01198.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01198_000089.jpg,real_ffhq_real_01198_000089.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01214.png,GAN|ffhq_real|01214,01214.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01214_000090.jpg,real_ffhq_real_01214_000090.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01217.png,GAN|ffhq_real|01217,01217.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01217_000091.jpg,real_ffhq_real_01217_000091.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01220.png,GAN|ffhq_real|01220,01220.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01220_000092.jpg,real_ffhq_real_01220_000092.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01231.png,GAN|ffhq_real|01231,01231.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01231_000093.jpg,real_ffhq_real_01231_000093.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01256.png,GAN|ffhq_real|01256,01256.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01256_000094.jpg,real_ffhq_real_01256_000094.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01257.png,GAN|ffhq_real|01257,01257.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01257_000095.jpg,real_ffhq_real_01257_000095.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01267.png,GAN|ffhq_real|01267,01267.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01267_000096.jpg,real_ffhq_real_01267_000096.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01274.png,GAN|ffhq_real|01274,01274.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01274_000097.jpg,real_ffhq_real_01274_000097.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01303.png,GAN|ffhq_real|01303,01303.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01303_000098.jpg,real_ffhq_real_01303_000098.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01330.png,GAN|ffhq_real|01330,01330.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01330_000099.jpg,real_ffhq_real_01330_000099.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01346.png,GAN|ffhq_real|01346,01346.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01346_000100.jpg,real_ffhq_real_01346_000100.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01352.png,GAN|ffhq_real|01352,01352.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01352_000101.jpg,real_ffhq_real_01352_000101.jpg
GAN,ffhq_real,train,real,image,Datasets\Raw-datasets\GANFaces\FFHQ\real\01383.png,GAN|ffhq_real|01383,01383.png,outputs_methodx_final_1\processed\GANFaces_processed\train\real\real_ffhq_real_01383_000102.jpg,real_ffhq_real_01383_000102.jpg
